Dista(Graus)	Long	Lat	Bouguer(mGal)
14.595241952	-41.438349258	-18.5202429008	68.8074111938
14.6318215057	-41.4049845655	-18.5352382683	71.6105728149
14.6684010595	-41.3716198729	-18.5502336357	82.0183868408
14.7049806132	-41.3382551804	-18.5652290031	78.4955596924
14.741560167	-41.3048904878	-18.5802243706	70.1682281494
14.7781397208	-41.2715257953	-18.595219738	72.3331985474
14.8147192745	-41.2381611027	-18.6102151054	69.3818817139
14.8512988283	-41.2047964102	-18.6252104729	65.8458862305
14.8878783821	-41.1714317176	-18.6402058403	69.2203216553
14.9244579358	-41.1380670251	-18.6552012078	80.4806137085
14.9610374896	-41.1047023325	-18.6701965752	87.0069503784
14.9976170434	-41.07133764	-18.6851919426	80.6891021729
15.0341965971	-41.0379729474	-18.7001873101	81.8142776489
15.0707761509	-41.0046082549	-18.7151826775	95.4064025879
15.1073557047	-40.9712435623	-18.730178045	84.5735473633
15.1439352584	-40.9378788698	-18.7451734124	78.075088501
15.1805148122	-40.9045141772	-18.7601687798	94.9885025024
15.2170943659	-40.8711494847	-18.7751641473	95.8411636353
15.2536739197	-40.8377847921	-18.7901595147	105.454811096
15.2902534735	-40.8044200996	-18.8051548821	108.849731445
15.3268330272	-40.771055407	-18.8201502496	108.062286377
15.363412581	-40.7376907145	-18.835145617	109.172286987
15.3999921348	-40.7043260219	-18.8501409845	94.1298980713
15.4365716885	-40.6709613294	-18.8651363519	117.072502136
15.4731512423	-40.6375966368	-18.8801317193	120.193153381
15.5097307961	-40.6042319443	-18.8951270868	120.914016724
15.5463103498	-40.5708672517	-18.9101224542	121.898231506
15.5828899036	-40.5375025592	-18.9251178217	122.476409912
15.6194694574	-40.5041378666	-18.9401131891	120.997848511
15.6560490111	-40.4707731741	-18.9551085565	118.804222107
15.6926285649	-40.4374084815	-18.970103924	126.870773315
15.7292081186	-40.404043789	-18.9850992914	130.34828186
15.7657876724	-40.3706790964	-19.0000946588	128.625839233
15.8023672262	-40.3373144039	-19.0150900263	133.283096313
15.8389467799	-40.3039497113	-19.0300853937	136.383880615
15.8755263337	-40.2705850188	-19.0450807612	139.905853271
15.9121058875	-40.2372203262	-19.0600761286	142.957595825
15.9486854412	-40.2038556337	-19.075071496	144.8697052
15.985264995	-40.1704909411	-19.0900668635	144.859634399
16.0218445488	-40.1371262486	-19.1050622309	147.265274048
16.0584241025	-40.103761556	-19.1200575983	146.384765625
16.0950036563	-40.0703968635	-19.1350529658	147.119537354
16.1315832101	-40.0370321709	-19.1500483332	145.823242188
16.1681627638	-40.0036674784	-19.1650437007	147.555404663
16.2047423176	-39.9703027858	-19.1800390681	151.43057251
16.2413218713	-39.9369380933	-19.1950344355	156.926757812
16.2779014251	-39.9035734007	-19.210029803	160.382919312
16.3144809789	-39.8702087082	-19.2250251704	165.11366272
16.3510605326	-39.8368440156	-19.2400205379	166.984863281
16.3876400864	-39.8034793231	-19.2550159053	175.022064209
16.4242196402	-39.7701146305	-19.2700112727	180.562347412
16.4607991939	-39.736749938	-19.2850066402	188.227416992
16.4973787477	-39.7033852454	-19.3000020076	188.7605896
16.5339583015	-39.6700205529	-19.314997375	186.647872925
